"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"105","Payton Wilson","LB /OrangeHillsborough, NC","LB",94.94,435000,10800,NA,NA,"nc state wolfpack","ACC","No",0
"106","Jeremiah Trotter Jr.","LB /St. Joseph'sPhiladelphia, PA","LB",96.77,418000,15600,NA,NA,"clemson tigers","ACC","No",0
"107","Nathaniel Watson","LB /MaplesvilleMaplesville, AL","LB",86.27,402000,4700,NA,NA,"mississippi state bulldogs","SEC","No",0
"108","Abdul Carter","LB /La Salle CollegePhiladelphia, PA","LB",91.35,401000,21000,NA,NA,"penn state nittany lions","Big Ten","No",0
"109","Cedric Gray","LB /Ardrey KellCharlotte, NC","LB",85.47,379000,8400,NA,NA,"north carolina tar heels","ACC","No",0
"110","Francisco Mauigoa","LB /TafunaIli’ili, AS","LB",82.83,369000,3100,"washington state cougars","Pac-12","miami hurricanes","ACC","Yes",1
"111","Jett Johnson","LB /TupeloTupelo, MS","LB",84.37,365000,17500,NA,NA,"mississippi state bulldogs","SEC","No",0
"112","Deontae Lawson","LB /Mobile Christian SchoolMobile, AL","LB",96.08,342000,26000,NA,NA,"alabama crimson tide","SEC","No",0
"113","Jaylan Ford","LB /Lone StarFrisco, TX","LB",83.17,335000,8800,NA,NA,"texas longhorns","Big 12","No",0
"114","Collin Oliver","LB /Santa FeEdmond, OK","LB",89.07,315000,5000,NA,NA,"oklahoma state cowboys","Big 12","No",0
"115","Tommy Eichenberg","LB /St IgnatiusCleveland, OH","LB",89.41,305000,21000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"116","Danny Stutsman","LB /Foundation AcademyWinter Garden, FL","LB",89.46,299000,64000,NA,NA,"oklahoma sooners","Big 12","No",0
"117","Eugene Asante","LB /WestfieldChantilly, VA","LB",91.01,298000,19600,NA,NA,"auburn tigers","SEC","No",0
"118","Marlowe Wax","LB /Mount Saint JosephBaltimore, MD","LB",83.7,287000,8200,NA,NA,"syracuse orange","ACC","No",0
"119","Suntarine Perkins","LB /RaleighRaleigh, MS","LB",98.14,280000,17100,NA,NA,"ole miss rebels","SEC","No",0
"120","Qua Russaw","LB /Carver Montgomery, AL","LB",97.32,268000,13400,NA,NA,"alabama crimson tide","SEC","No",0
"121","Raylen Wilson","LB /LincolnTallahassee, FL","LB",97.26,249000,89000,NA,NA,"georgia bulldogs","SEC","No",0
"122","Tyrice Knight","LB /Lake GibsonLakeland, FL","LB",78.65,239000,1300,NA,NA,"utep miners","C-USA","No",0
"123","Barrett Carter","LB /North GwinnettSuwanee, GA","LB",96.97,235000,27000,NA,NA,"clemson tigers","ACC","No",0
"124","Curtis Jacobs","LB /McDonogh SchoolGlen Burnie, MD","LB",96.39,220000,19000,NA,NA,"penn state nittany lions","Big Ten","No",0
"125","Smael Mondon","LB /Paulding CountyDallas, GA","LB",97.01,206000,24000,NA,NA,"georgia bulldogs","SEC","No",0
"126","Aaron Beasley","LB /Heard CountyFranklin, GA","LB",88.37,203000,15000,NA,NA,"tennessee volunteers","SEC","No",0
"127","C.J. Hicks","LB /Archbishop AlterDayton, OH","LB",98.14,201000,161000,NA,NA,"ohio state buckeyes","Big Ten","No",0
"128","Morice Blackwell","LB /MartinArlington, TX","LB",90.41,200000,18200,NA,NA,"texas longhorns","Big 12","No",0
"129","Jett Bush","LB /Strake JesuitHouston, TX","LB",77.55,195000,15600,NA,NA,"texas longhorns","Big 12","No",0
"130","Jay Higgins","LB /Brebeuf JesuitIndianapolis, IN","LB",81.6,193000,6700,NA,NA,"iowa hawkeyes","Big Ten","No",0
"131","Kalen DeLoach","LB /IslandsSavannah, GA","LB",91.02,193000,16000,NA,NA,"florida state seminoles","ACC","No",0
"132","David Gbenda","LB /Cinco RanchKaty, TX","LB",92.4,192000,2800,NA,NA,"texas longhorns","Big 12","No",0
"133","Jacob Manu","LB /ServiteAnaheim, CA","LB",85.85,188000,989,NA,NA,"arizona wildcats","Pac-12","No",0
"134","Derion Gullette","LB /TeagueMarlin, TX","LB",93.34,188000,14500,NA,NA,"texas longhorns","Big 12","No",0
"135","Maema Njongmeta","LB /Adlai StevensonLincolnshire, IL","LB",88.67,180000,4400,NA,NA,"wisconsin badgers","Big Ten","No",0
"136","Trevin Wallace","LB /Wayne CountyJesup, GA","LB",94.25,170000,3500,NA,NA,"kentucky wildcats","SEC","No",0
"137","Junior Colson","LB /RavenwoodBrentwood, TN","LB",94.49,159000,40000,NA,NA,"michigan wolverines","Big Ten","No",0
"138","CJ Allen","LB /Lamar County ComprehensiveBarnesville, GA","LB",94.91,156000,26000,NA,NA,"georgia bulldogs","SEC","No",0
"139","Kendrick Blackshire","LB /DuncanvilleDuncanville, TX","LB",91.95,156000,71000,NA,NA,"alabama crimson tide","SEC","No",0
"140","Steele Chambers","LB /Blessed Trinity CatholicRoswell, GA","LB",91.58,156000,12800,NA,NA,"ohio state buckeyes","Big Ten","No",0
"141","Ty'Ron Hopper","LB /RoswellRoswell, GA","LB",94.91,154000,13600,NA,NA,"missouri tigers","SEC","No",0
"142","Troy Bowles","LB /JesuitTampa, FL","LB",94.55,149000,23000,NA,NA,"georgia bulldogs","SEC","No",0
"143","Tackett Curtis","LB /ManyMany, LA","LB",93.62,148000,11100,NA,NA,"usc trojans","Pac-12","No",0
"144","Tony Rojas","LB /FairfaxFairfax, VA","LB",94.45,147000,19600,NA,NA,"penn state nittany lions","Big Ten","No",0
"145","Samuel Omosigho","LB /CrandallCrandall, TX","LB",95.31,145000,14800,NA,NA,"oklahoma sooners","Big 12","No",0
"146","Jamon Dumas-Johnson","LB /St. Frances AcademyBaltimore, MD","LB",91.17,144000,11400,NA,NA,"georgia bulldogs","SEC","No",0
"147","Elijah Herring","LB /RiverdaleMurfreesboro, TN","LB",86.47,138000,5800,NA,NA,"tennessee volunteers","SEC","No",0
"148","Kalib Perry","LB /Great CrossingGeorgetown, KY","LB",86.17,138000,3900,NA,NA,"tennessee volunteers","SEC","No",0
"149","TJ Capers","LB /ColumbusMiami, FL","LB",93.27,137000,24000,NA,NA,"louisville cardinals","ACC","No",0
"150","Brian Holloway","LB /Clear LakeHouston, TX","LB",50,134000,603,NA,NA,"texas state bobcats","Sun Belt","No",0
"151","Marist Liufau","LB /PunahouHonolulu, HI","LB",88.73,134000,9900,NA,NA,"notre dame fighting irish","Independent","No",0
"152","Drayk Bowen","LB /AndreanMerrillville, IN","LB",94.14,132000,32000,NA,NA,"notre dame fighting irish","Independent","No",0
"153","Arion Carter","LB /SmyrnaSmyrna, TN","LB",93.57,128000,5800,NA,NA,"tennessee volunteers","SEC","No",0
"154","Teradja Mitchell","LB /BaysideVirginia Beach, VA","LB",96.34,126000,48000,"ohio state buckeyes","Big Ten","florida gators","SEC","Yes",1
