"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"122","maryland terrapins","auburn tigers",88000,88000,1,"Big Ten","College Park, MD",38.980666,-76.9369189,"SEC","Auburn, AL",32.6405377,-85.4626848
"123","syracuse orange","lsu tigers",87000,87000,1,"ACC","Syracuse, NY",43.0481221,-76.1474244,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"124","baylor bears","nebraska cornhuskers",86000,86000,1,"Big 12","Waco, TX",31.5491899,-97.1474628,"Big Ten","Lincoln, NE",40.8088861,-96.7077751
"125","north texas mean green","oklahoma state cowboys",86000,86000,1,"American","Denton, TX",33.1838787,-97.1413417,"Big 12","Stillwater, OK",36.1156306,-97.0585717
"126","bucknell bison","georgia state panthers",85000,85000,1,"Patriot","Lewisburg, Pennsylvania",40.9645337,-76.8847639,"Sun Belt","Atlanta, GA",33.7489924,-84.3902644
"127","south carolina gamecocks","oklahoma sooners",85000,85000,1,"SEC","Columbia, SC",34.0374165,-80.8224044537886,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"128","lsu tigers","ole miss rebels",83000,83000,1,"SEC","Baton Rouge, LA",30.4494155,-91.1869659,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"129","ole miss rebels","purdue boilermakers",83000,83000,1,"SEC","University[n 18], MS",43.7978613,-79.3919089889469,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"130","utsa roadrunners","ole miss rebels",83000,83000,1,"American","San Antonio, TX",29.4246002,-98.4951405,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"131","oklahoma sooners","ucf knights",82000,82000,1,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304
"132","texas longhorns","lsu tigers",82000,82000,1,"Big 12[n 17]","Austin, TX",30.2711286,-97.7436995,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"133","arizona state sun devils","clemson tigers",81000,81000,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"ACC","Clemson, SC",34.6850749,-82.8364111
"134","jackson state tigers","louisville cardinals",81000,81000,1,"SWAC","Jackson, Mississippi",32.2998686,-90.1830408,"ACC","Louisville, KY",38.2542376,-85.759407
"135","north carolina tar heels","arkansas razorbacks",81000,81000,1,"ACC","Chapel Hill, NC",35.9131542,-79.05578,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"136","oklahoma sooners","wisconsin badgers",81000,81000,1,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816,"Big Ten","Madison, WI",43.074761,-89.3837613
"137","oregon state beavers","lsu tigers",81000,81000,1,"Pac-12","Corvallis, OR",44.5645659,-123.2620435,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"138","florida gators","pittsburgh panthers",80000,80000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"ACC","Pittsburgh[n 21], PA",40.4416941,-79.9900861
"139","tennessee volunteers","indiana hoosiers",80000,80000,1,"SEC","Knoxville, TN",35.9603948,-83.9210261,"Big Ten","Bloomington, IN",39.1670396,-86.5342881
"140","nc state wolfpack","ole miss rebels",78000,78000,1,"ACC","Raleigh, NC",35.7803977,-78.6390989,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"141","washington huskies","oklahoma sooners",77000,77000,1,"Pac-12[n 19]","Seattle, WA",47.6038321,-122.330062,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"142","washington huskies","ole miss rebels",77000,77000,1,"Pac-12[n 19]","Seattle, WA",47.6038321,-122.330062,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"143","ucf knights","ole miss rebels",76000,76000,1,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"144","florida gators","lsu tigers",75000,75000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
