"","Name","High School","Position","Rating","College","NIL Valuation","Followers"
"977","Cade McNamara","QB /Damonte RanchReno, NV","QB",90.44,"Iowa Hawkeyes",139000,112000
"978","Payton Thorne","QB /Naperville CentralNaperville, IL","QB",83.53,"Auburn Tigers",138000,38000
"979","Jeff Sims","QB /SandalwoodJacksonville, FL","QB",90.6,"Nebraska Cornhuskers",135000,40000
"980","Darren Grainger","QB /ConwayConway, SC","QB",0,"Furman Paladins",134000,3000
"981","Devin Brown","QB /Corner CanyonDraper, UT","QB",97,"Ohio State Buckeyes",133000,26000
"982","Kenny Minchey","QB /Pope John Paul IIHendersonville, TN","QB",92.56,"Notre Dame Fighting Irish",131000,6900
"983","Max Johnson","QB /Prince Avenue Christian SchoolWatkinsville, GA","QB",90.19,"Texas Am Aggies",130000,32000
"984","Ty Simpson","QB /WestviewMartin, TN","QB",97.24,"Alabama Crimson Tide",127000,40000
"985","Lincoln Kienholz","QB /T.F. RiggsPierre, SD","QB",91.99,"Ohio State Buckeyes",123000,8200
"986","Alex Orji","QB /SachseSachse, TX","QB",89.08,"Michigan Wolverines",122000,93000
"987","Malik Cunningham","QB /Park CrossingMontgomery, AL","QB",87.76,"Louisville Cardinals",119000,69000
"988","General Booty","QB /AllenAllen, TX","QB",0,"Oklahoma Sooners",119000,49000
"989","Beau Pribula","QB /Central YorkYork, PA","QB",88.5,"Penn State Nittany Lions",117000,23000
"990","Tate Rodemaker","QB /ValdostaValdosta, GA","QB",86.27,"Florida State Seminoles",115000,14400
"991","Spencer Sanders","QB /RyanDenton, TX","QB",92.38,"Ole Miss Rebels",114000,38000
"992","Miller Moss","QB /Bishop AlemanyMission Hills, CA","QB",94.81,"Usc Trojans",114000,15100
"993","Austin Simmons","QB /Moore Haven Junior/seniorPahokee, FL","QB",91.01,"Ole Miss Rebels",112000,13200
"994","Max Brown","QB /Lincoln Christian SchoolTulsa, OK","QB",84.62,"Florida Gators",111000,9500
"995","Emory Jones","QB /Heard CountyFranklin, GA","QB",94.09,"Cincinnati Bearcats",111000,97000
"996","Rickie Collins","QB /WoodlawnBaton Rouge, LA","QB",91.38,"Lsu Tigers",109000,15600
"997","Jake Garcia","QB /GraysonLoganville, GA","QB",95.87,"Missouri Tigers",108000,72000
"998","Heinrich Haarberg","QB /Kearney CatholicKearney, NE","QB",88.27,"Nebraska Cornhuskers",105000,10000
"999","Marcel Reed","QB /Montgomery Bell AcademyNashville, TN","QB",90.07,"Texas Am Aggies",104000,15500
"1000","Gunner Stockton","QB /Rabun CountyTiger, GA","QB",93.11,"Georgia Bulldogs",101000,39000
