"","Conference","name"
"63","C-USA","Middle Tennessee Blue Raiders"
"64","Big Ten","Minnesota Golden Gophers"
"65","SEC","Mississippi State Bulldogs"
"66","SEC","Missouri Tigers"
"67","American","Navy Midshipmen"
"68","ACC","Nc State Wolfpack"
"69","Big Ten","Nebraska Cornhuskers"
"70","Mountain West","Nevada Wolf Pack"
"71","Mountain West","New Mexico Lobos"
"72","C-USA","New Mexico State Aggies"
"73","ACC","North Carolina Tar Heels"
"74","American","North Texas Mean Green"
"75","MAC","Northern Illinois Huskies"
"76","Big Ten","Northwestern Wildcats"
"77","Independent","Notre Dame Fighting Irish"
"78","MAC","Ohio Bobcats"
"79","Big Ten","Ohio State Buckeyes"
"80","Big 12","Oklahoma Sooners"
"81","Big 12","Oklahoma State Cowboys"
"82","Sun Belt","Old Dominion Monarchs"
"83","SEC","Ole Miss Rebels"
"84","Pac-12","Oregon Ducks"
"85","Pac-12","Oregon State Beavers"
"86","Big Ten","Penn State Nittany Lions"
"87","ACC","Pittsburgh Panthers"
"88","Big Ten","Purdue Boilermakers"
"89","American","Rice Owls"
"90","Big Ten","Rutgers Scarlet Knights"
"91","C-USA","Sam Houston Bearkats"
"92","Mountain West","San Diego State Aztecs"
"93","Mountain West","San Jose State Spartans"
"94","American","Smu Mustangs"
"95","Sun Belt","South Alabama Jaguars"
"96","SEC","South Carolina Gamecocks"
"97","American","South Florida Bulls"
"98","Sun Belt","Southern Miss Golden Eagles"
"99","Pac-12","Stanford Cardinal"
"100","ACC","Syracuse Orange"
"101","Big 12","Tcu Horned Frogs"
"102","American","Temple Owls"
"103","SEC","Tennessee Volunteers"
"104","Big 12","Texas Longhorns"
"105","SEC","Texas A&M Aggies"
"106","Sun Belt","Texas State Bobcats"
"107","Big 12","Texas Tech Red Raiders"
"108","MAC","Toledo Rockets"
"109","Sun Belt","Troy Trojans"
"110","American","Tulane Green Wave"
"111","American","Tulsa Golden Hurricane"
"112","American","Uab Blazers"
"113","Big 12","Ucf Knights"
"114","Pac-12","Ucla Bruins"
"115","Independent","Uconn Huskies"
"116","Independent","Umass Minutemen"
"117","Mountain West","Unlv Rebels"
"118","Pac-12","Usc Trojans"
"119","C-USA","Utep Miners"
"120","American","Utsa Roadrunners"
"121","Pac-12","Utah Utes"
"122","Mountain West","Utah State Aggies"
"123","SEC","Vanderbilt Commodores"
"124","ACC","Virginia Cavaliers"
"125","ACC","Virginia Tech Hokies"
"126","ACC","Wake Forest Demon Deacons"
"127","Pac-12","Washington Huskies"
"128","Pac-12","Washington State Cougars"
"129","Big 12","West Virginia Mountaineers"
"130","C-USA","Western Kentucky Hilltoppers"
"131","MAC","Western Michigan Broncos"
"132","Big Ten","Wisconsin Badgers"
"133","Mountain West","Wyoming Cowboys"
"134","UAC","Abilene Christian Wildcats"
"135","SWAC","Alabama A&M Bulldogs"
"136","SWAC","Alabama State Hornets"
"137","CAA","Albany Great Danes"
"138","SWAC","Alcorn State Braves"
"139","SWAC","Arkansas–Pine Bluff Golden Lions"
"140","UAC","Austin Peay Governors"
"141","SWAC","Bethune–Cookman Wildcats"
"142","Ivy","Brown Bears"
"143","Big South-OVC","Bryant Bulldogs"
"144","Patriot","Bucknell Bison"
"145","Pioneer","Butler Bulldogs"
"146","Big Sky","Cal Poly Mustangs"
"147","CAA","Campbell Fighting Camels"
"148","UAC","Central Arkansas Bears"
"149","Northeast","Central Connecticut Blue Devils"
"150","Big South-OVC","Charleston Southern Buccaneers"
"151","Southern","Chattanooga Mocs"
"152","Southern","The Citadel Bulldogs"
"153","Patriot","Colgate Raiders"
"154","Ivy","Columbia Lions"
"155","Ivy","Cornell Big Red"
"156","Ivy","Dartmouth Big Green"
"157","Pioneer","Davidson Wildcats"
"158","Pioneer","Dayton Flyers"
"159","CAA","Delaware Fightin' Blue Hens"
"160","MEAC","Delaware State Hornets"
"161","Pioneer","Drake Bulldogs"
