"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"1","Travis Hunter","Collins Hill","WR / CB",99.56,2200000,1900000,"jackson state tigers","colorado buffaloes"
"2","Khyree Jackson","Dr. Henry Wise","CB / CB",90.42,518000,41000,"alabama crimson tide","oregon ducks"
"3","Christian Roland-Wallace","William Knight","CB / CB",84.7,400000,2500,"arizona wildcats","usc trojans"
"4","Fentrell Cypress","Northwestern","CB / CB",85.23,179000,4200,"virginia cavaliers","florida state seminoles"
"5","Zamari Walton","Melbourne Central Catholic","CB / CB",83.4,249000,19900,"georgia tech yellow jackets","ole miss rebels"
"6","Alijah Huzzie","Heard County","CB / CB",0,264000,1300,"etsu buccaneers","north carolina tar heels"
"7","Davison Igbinosun","Union","CB / CB",92.79,223000,41000,"ole miss rebels","ohio state buckeyes"
"8","Gavin Holmes","Archbishop Rummel","CB / CB",82.87,192000,3200,"wake forest demon deacons","texas longhorns"
"9","Beanie Bishop","Pleasure Ridge Park","CB / CB",78.55,345000,1700,"minnesota golden gophers","west virginia mountaineers"
"10","Lance Robinson","Mitchell County","OT / CB",83.83,0,8600,"houston cougars","louisville cardinals"
"11","Marquis Wilson","Avon Old Farms","ATH / CB",89.67,141000,9600,"penn state nittany lions","purdue boilermakers"
"12","Myles Jones","Magnolia West","CB / CB",89.03,118000,128000,"texas am aggies","duke blue devils"
"13","Tony Grimes","Princess Anne","CB / CB",97.64,114000,30000,"north carolina tar heels","texas am aggies"
"14","DeShawn Gaddie Jr.","Lamar","CB / CB",82.6,103000,160000,"north texas mean green","ole miss rebels"
"15","Gavin Pringle","Mount Saint Joseph","CB / CB",0,89000,865,"bucknell bison","georgia state panthers"
"16","Justin Flowe","Upland","LB / LB",99.05,446000,507000,"oregon ducks","arizona wildcats"
"17","Francisco Mauigoa","Tafuna","LB / LB",82.83,355000,3100,"washington state cougars","miami hurricanes"
"18","Trezmen Marshall","Clinch County","LB / LB",93.12,163000,12100,"georgia bulldogs","alabama crimson tide"
"19","Teradja Mitchell","Bayside","LB / LB",96.34,126000,48000,"ohio state buckeyes","florida gators"
"20","Mason Cobb","Provo","LB / LB",83.4,114000,15900,"oklahoma state cowboys","usc trojans"
"21","MJ Sherman","St. John's","LB / LB",96.56,106000,22000,"georgia bulldogs","nebraska cornhuskers"
"22","Austin Keys","Seminary","LB / LB",85.55,103000,17100,"ole miss rebels","auburn tigers"
"23","Monty Montgomery","Norcross","LB / LB",81.1,88000,10100,"louisville cardinals","ole miss rebels"
"24","Larry Nixon III","Richland","LB / LB",78,85000,1500,"north texas mean green","auburn tigers"
"25","Bear Alexander","IMG Academy","DL / DL",96.33,446000,43000,"georgia bulldogs","usc trojans"
"26","Braden Fiske","Michigan City","DL / DL",79.32,186000,3100,"western michigan broncos","florida state seminoles"
"27","Darrell Jackson","Gadsden County","DL / DL",85.93,101000,7900,"miami hurricanes","florida state seminoles"
"28","Gilber Edmond","Fort Pierce Westwood","EDGE / DL",82.53,100000,4500,"south carolina gamecocks","florida state seminoles"
"29","Kyon Barrs","Murrieta Mesa","DL / DL",0,95000,6400,"arizona wildcats","usc trojans"
"30","Jack Sullivan","Plainfield East","DL / DL",82.87,94000,1700,"purdue boilermakers","usc trojans"
"31","Justin Rogers","Oak Park","DL / DL",96.05,93000,14300,"kentucky wildcats","auburn tigers"
"32","Caleb Banks","Southfield","DL / DL",84.1,93000,5100,"louisville cardinals","florida gators"
"33","Mosiah Nasili-Kite","Emerald Ridge","DL / DL",84.03,88000,788,"maryland terrapins","auburn tigers"
"34","Jamil Muhammad","James Clemens","LB / EDGE",84.63,241000,5900,"georgia state panthers","usc trojans"
"35","Antwaun Powell-Ryland Jr.","Indian River","EDGE / EDGE",91.71,463000,8300,"florida gators","virginia tech hokies"
"36","Anthony Lucas","Chaparral","EDGE / EDGE",96.35,212000,16500,"texas am aggies","usc trojans"
"37","Logan Fano","Timpview","EDGE / EDGE",89.44,129000,5900,"byu cougars","utah utes"
"38","Andre Carter","Cass Technical","EDGE / EDGE",82.2,123000,5700,"western michigan broncos","indiana hoosiers"
"39","Daniel Grzesiak","Crenshaw","EDGE / EDGE",0,154000,4600,"utah state aggies","cincinnati bearcats"
"40","Prince Dorbah","Highland Park","EDGE / EDGE",92.89,122000,13300,"texas longhorns","arizona state sun devils"
"41","Austin Booker","Center Grove","EDGE / EDGE",86.57,135000,3200,"minnesota golden gophers","kansas jayhawks"
"42","Eyabi Okie","St. Frances Academy","EDGE / EDGE",99.55,108000,29000,"michigan wolverines","charlotte 49ers"
"43","Chief Borders","Heard County","EDGE / EDGE",89.53,123000,61000,"florida gators","nebraska cornhuskers"
"44","Dasan McCullough","Bloomington South","EDGE / EDGE",94.5,118000,79000,"indiana hoosiers","oklahoma sooners"
"45","Elijah McAllister","Rumson-Fair Haven","LB / EDGE",86.73,100000,9500,"vanderbilt commodores","auburn tigers"
"46","Jalen McLeod","Friendship Collegiate Academy","EDGE / EDGE",80.15,99000,7500,"appalachian state mountaineers","auburn tigers"
"47","Bradyn Swinson","Chapel Hill","EDGE / EDGE",88.07,91000,18500,"oregon ducks","lsu tigers"
"48","Matt Lee","Hagerty ","IOL / IOL",80.75,327000,5900,"ucf knights","miami hurricanes"
"49","Marcellus Marshall","Morgantown","OT / IOL",80.15,142000,1200,"kent state golden flashes","ucf knights"
"50","Drake Nugent","Highlands Ranch","IOL / IOL",84.3,336000,3600,"stanford cardinal","michigan wolverines"
"51","Gunner Britton","Conway","OT / IOL",77.27,192000,3800,"western kentucky hilltoppers","auburn tigers"
"52","Kobe Baynes","Sandalwood","OT / IOL",84.37,227000,4300,"louisville cardinals","kansas jayhawks"
"53","Jarrett Kingston","Anderson","OT / IOL",79.27,187000,1900,"washington state cougars","usc trojans"
"54","Josh Braun","Suwannee","IOL / IOL",90.54,168000,5800,"florida gators","arkansas razorbacks"
"55","Emmanuel Pregnon","Thomas Jefferson","IOL / IOL",0,161000,1500,"wyoming cowboys","usc trojans"
"56","Javion Cohen","Central","IOL / IOL",90.16,116000,14800,"alabama crimson tide","miami hurricanes"
"57","Micah Mazzccua","St. Frances Academy","IOL / IOL",86.4,143000,2400,"baylor bears","florida gators"
"58","Kyle Hergel","Clarkson Football North","IOL / IOL",0,189000,3200,"texas state bobcats","boston college eagles"
"59","Keiondre Jones","Callaway","IOL / IOL",92.21,109000,74000,"auburn tigers","florida state seminoles"
"60","Willis Patrick","Mansfield","IOL / IOL",0,77000,2400,"jackson state tigers","undecided"
"61","Casey Roddick","St. Bonaventure","IOL / IOL",84.75,102000,8500,"colorado buffaloes","florida state seminoles"
"62","Avery Jones","Havelock","IOL / IOL",90.88,90000,5000,"east carolina pirates","auburn tigers"
"63","Ben Scott","St. Louis","IOL / IOL",80.97,89000,4600,"arizona state sun devils","nebraska cornhuskers"
"64","Ajani Cornelius","Archbishop Stepinac","OT / OT",0,580000,5700,"rhode island rams","oregon ducks"
"65","Walter Rouse","Sidwell Friends School","OT / OT",88.37,524000,6900,"stanford cardinal","oklahoma sooners"
"66","Michael Tarquin","North Marion","OT / OT",89.94,95000,6100,"florida gators","usc trojans"
"67","Dillon Wade","Cy Falls","OT / OT",79.15,305000,8200,"tulsa golden hurricane","auburn tigers"
"68","Gottlieb Ayedze","Northwest","OT / OT",0,188000,276,"frostburg state bobcats","maryland terrapins"
"69","Savion Washington","St. Vincent-St. Mary","OT / OT",79.52,0,2600,"kent state golden flashes","colorado buffaloes"
"70","John Campbell","Dr. Phillips","OT / OT",88.03,141000,24000,"miami hurricanes","tennessee volunteers"
"71","Xavier Hill","Olive Branch","IOL / OT",88.37,132000,2100,"lsu tigers","memphis tigers"
"72","Andrej Karic","Southlake Carroll","OT / OT",90,131000,5200,"texas longhorns","tennessee volunteers"
"73","Marques Cox","Peoria","OT / OT",82.5,121000,4900,"northern illinois huskies","kentucky wildcats"
"74","William Parker","Pearl-Cohn","OT / OT",89.33,105000,1700,"tennessee volunteers","uab blazers"
"75","Jeremiah Byers","Anderson","OT / OT",78.77,99000,3600,"utep miners","florida state seminoles"
"76","Damieon George","North Shore","OT / OT",89.67,94000,9300,"alabama crimson tide","florida gators"
"77","Jaden Muskrat","Bentonville West","OT / OT",77.6,82000,1100,"tulsa golden hurricane","auburn tigers"
"78","Jaheim Bell","Valdosta","TE / TE",89.67,497000,49000,"south carolina gamecocks","florida state seminoles"
"79","Erick All","Fairfield","TE / TE",89.37,142000,29000,"michigan wolverines","iowa hawkeyes"
"80","Trey Knox","Blackman","WR / TE",91.11,202000,48000,"arkansas razorbacks","south carolina gamecocks"
"81","Rivaldo Fairweather","Boyd Anderson","TE / TE",81.23,326000,5200,"fiu golden panthers","auburn tigers"
"82","McCallan Castles","South Tahoe","TE / TE",89.67,207000,4900,"uc davis aggies","tennessee volunteers"
"83","Cade Conley","Williamston","TE / TE",0,81000,499,"central michigan chippewas","marshall thundering herd"
"84","Kole Taylor","Central","TE / TE",88.4,156000,4800,"lsu tigers","west virginia mountaineers"
"85","Riley Williams","","P / TE",93.84,0,8900,"towson tigers","missouri tigers"
"86","CJ Dippre","Lakeland","TE / TE",85,106000,10200,"maryland terrapins","alabama crimson tide"
"87","Bryce Drummond","Pawhuska","LB / TE",82.08,86000,65000,"north texas mean green","oklahoma state cowboys"
"88","Austin Stogner","Prestonwood Christian","TE / TE",93.1,85000,37000,"south carolina gamecocks","oklahoma sooners"
"89","Caden Prieskorn","Fork Union Military (HS)","TE / TE",0,75000,1700,"memphis tigers","ole miss rebels"
"90","Nick Elksnis","Episcopal","TE / TE",89.39,60000,8400,"florida gators","south carolina gamecocks"
"91","Cam McCormick","Summit","TE / TE",88.03,65000,9700,"oregon ducks","miami hurricanes"
"92","AJ Barner","Aurora","TE / TE",83.23,62000,7100,"indiana hoosiers","michigan wolverines"
"93","Keon Coleman","Opelousas Catholic School","WR / WR",89.67,819000,135000,"michigan state spartans","florida state seminoles"
"94","AD Mitchell","Cane Ridge","WR / WR",90.39,488000,51000,"georgia bulldogs","texas longhorns"
"95","Jamari Thrash","Troup County","WR / WR",81.5,365000,1900,"georgia state panthers","louisville cardinals"
"96","Tre Harris","Comeaux","WR / WR",80.08,474000,3400,"louisiana tech bulldogs","ole miss rebels"
"97","Malik Washington","Parkview","WR / WR",85.6,521000,2700,"northwestern wildcats","virginia cavaliers"
"98","Jimmy Horn Jr.","Seminole","WR / WR",88,138000,109000,"usf bulls","colorado buffaloes"
"99","Xavier Weaver","Orlando Christian Prep","WR / WR",80.48,255000,4900,"usf bulls","colorado buffaloes"
"100","Andrel Anthony","East Lansing","WR / WR",87.77,223000,207000,"michigan wolverines","oklahoma sooners"
"101","Dorian Singer","Pinnacle","WR / WR",84.03,207000,14000,"arizona wildcats","usc trojans"
"102","J.Michael Sturdivant","Marcus","WR / WR",93.47,121000,8400,"california golden bears","ucla bruins"
"103","Dont'e Thornton","Mount Saint Joseph","WR / WR",95.14,175000,99000,"oregon ducks","tennessee volunteers"
"104","A.J. Henning","Lincoln-Way East","WR / WR",94.09,160000,567000,"michigan wolverines","northwestern wildcats"
"105","Nate McCollum","Dutchtown","WR / WR",89.81,130000,5000,"georgia tech yellow jackets","north carolina tar heels"
"106","Mycah Pittman","Calabasas","WR / WR",94.2,127000,307000,"florida state seminoles","utah utes"
"107","Ray Davis","Blair Academy","RB / RB",81.05,400000,12700,"vanderbilt commodores","kentucky wildcats"
"108","MarShawn Lloyd","DeMatha Catholic","RB / RB",95.98,410000,42000,"south carolina gamecocks","usc trojans"
"109","Devin Neal","Frederick Douglass","S / RB",89.04,0,5800,"baylor bears","louisville cardinals"
"110","Blake Watson","Green Hope","RB / RB",76.05,264000,3300,"old dominion monarchs","memphis tigers"
"111","Logan Diggs","Archbishop Rummel","RB / RB",88.37,189000,24000,"notre dame fighting irish","lsu tigers"
"112","Ismail Mahdi","Plano East","RB / RB",0,210000,17700,"houston baptist huskies","texas state bobcats"
"113","Carson Steele","Center Grove","RB / RB",0,138000,12900,"ball state cardinals","ucla bruins"
"114","Treshaun Ward","Tampa Bay Tech","RB / RB",82.5,152000,21000,"florida state seminoles","kansas state wildcats"
"115","Nathan Carter","Bishop Kearney","RB / RB",79.12,116000,6300,"connecticut huskies","michigan state spartans"
"116","Emeka Megwa","Timber Creek","RB / RB",89.5,77000,34000,"washington huskies","oklahoma sooners"
"117","Trey Sanders","IMG Academy","RB / RB",98.21,74000,60000,"alabama crimson tide","tcu horned frogs"
"118","Kavosiey Smoke","Wetumpka","RB / RB",86.53,68000,38000,"kentucky wildcats","colorado buffaloes"
"119","Shedeur Sanders","Trinity Christian School","QB / QB",89.16,4500000,2300000,"jackson state tigers","colorado buffaloes"
"120","Sam Hartman","Oceanside Collegiate Academy","QB / QB",85.63,1100000,254000,"wake forest demon deacons","notre dame fighting irish"
"121","DJ Uiagalelei","St. John Bosco","QB / QB",98.32,902000,195000,"clemson tigers","oregon state beavers"
"122","Graham Mertz","Blue Valley North","QB / QB",95.33,686000,97000,"wisconsin badgers","florida gators"
"123","Haynes King","Longview","QB / QB",93.13,344000,25000,"texas am aggies","georgia tech yellow jackets"
"124","Jack Plummer","Gilbert","QB / QB",87.5,385000,7500,"california golden bears","louisville cardinals"
"125","Devin Leary","Timber Creek","QB / QB",89.62,456000,41000,"nc state wolfpack","kentucky wildcats"
"126","TJ Finley","Ponchatoula","QB / QB",88.67,261000,71000,"auburn tigers","texas state bobcats"
"127","JT Daniels","Mater Dei","QB / QB",97.81,273000,101000,"west virginia mountaineers","rice owls"
"128","Hudson Card","Lake Travis","QB / QB",94.95,247000,44000,"texas longhorns","purdue boilermakers"
"129","Donovan Smith","Frenship","QB / QB",85.27,180000,13800,"texas tech red raiders","houston cougars"
"130","Brennan Armstrong","Shelby","QB / QB",87.17,208000,14000,"virginia cavaliers","nc state wolfpack"
"131","Tanner Mordecai","Midway","QB / QB",90.64,204000,18900,"smu mustangs","wisconsin badgers"
"132","Kedon Slovis","Desert Mountain","QB / QB",87.67,192000,39000,"pittsburgh panthers","byu cougars"
"133","Davis Brin","Champion","QB / QB",82.8,141000,4600,"tulsa golden hurricane","georgia southern eagles"
"134","Casey Thompson","Newcastle","QB / QB",90.01,141000,123000,"nebraska cornhuskers","florida atlantic owls"
"135","Cade McNamara","Damonte Ranch","QB / QB",90.44,139000,112000,"michigan wolverines","iowa hawkeyes"
"136","Payton Thorne","Naperville Central","QB / QB",83.53,139000,38000,"michigan state spartans","auburn tigers"
"137","Jeff Sims","Sandalwood","QB / QB",90.6,135000,40000,"georgia tech yellow jackets","nebraska cornhuskers"
"138","Spencer Sanders","Ryan","QB / QB",92.38,114000,38000,"oklahoma state cowboys","ole miss rebels"
"139","Emory Jones","Heard County","QB / QB",94.09,111000,97000,"arizona state sun devils","cincinnati bearcats"
"140","Jake Garcia","Grayson","QB / QB",95.87,108000,72000,"miami hurricanes","missouri tigers"
"141","Mason Arnold","Carrollwood Day","LS",0,0,0,"ohio state buckeyes","michigan state spartans"
"142","Marco Ortiz","Benedictine","LS",0,0,0,"florida gators","nebraska cornhuskers"
"143","Michael Donovan","Ernest W. Seaholm","LS",0,0,0,"michigan state spartans","miami hurricanes"
"144","Slater Zellers","Notre Dame Preparatory","LS",0,0,0,"california golden bears","arizona state sun devils"
"145","Gage King","Oak Ridge","LS",0,0,0,"arizona state sun devils","ucf knights"
"146","Michael Wright","Blessed Trinity Catholic","LS",0,0,0,"penn state nittany lions","boston college eagles"
"147","Brylan Noonan","Robinson Secondary","LS",0,0,0,"wagner seahawks","temple owls"
"148","Zach Edwards","Azle","LS",0,0,0,"texas longhorns","undecided"
"149","John Ferlmann","Boulder Creek","LS",0,0,0,"arizona state sun devils","ohio state buckeyes"
"150","Vincenzo Anthony","Venice","LS",0,0,0,"virginia tech hokies","undecided"
"151","Kaydon Olivia","Samuel Clemens","LS",0,0,0,"texas state bobcats","undecided"
"152","Justice Brusatto","Juan Diego Catholic","LS",0,0,0,"idaho state bengals","undecided"
"153","Colson Brunner","Cashmere","LS",0,0,0,"central washington wildcats","oregon ducks"
"154","Enzo Anthony","","LS",0,0,0,"virginia tech hokies","undecided"
"155","Ronald Gaines III","Simeon","LS",0,0,0,"temple owls","undecided"
"156","Thomas Hathorn","","LS",0,0,0,"henderson state reddies","undecided"
"157","Brandon Richards","","LS",0,0,0,"hampton pirates","undecided"
"158","Will Ferrin","Davis","P",0,0,0,"boise state broncos","undecided"
"159","Ryan Sanborn","Francis Parker School","P",0,0,0,"stanford cardinal","texas longhorns"
"160","Michael O'Shaughnessy","New Albany","P",0,0,0,"ohio state buckeyes","michigan state spartans"
"161","Mark Vassett","ProKick Australia","P",0,0,0,"louisville cardinals","colorado buffaloes"
"162","Riley Thompson","Alfred Deakin High","P",0,0,0,"florida atlantic owls","penn state nittany lions"
"163","Luke Elzinga","Grand Rapids Christian","P",0,0,0,"central michigan chippewas","oklahoma sooners"
"164","Jack Martin","Northview","P",0,0,0,"alabama crimson tide","houston cougars"
"165","Josh Carlson","Gilbert","P",0,0,0,"new mexico state aggies","arizona state sun devils"
"166","Jack Stonehouse","Chaminade","P",0,0,0,"missouri tigers","syracuse orange"
"167","Michael Hayes","West Florence","P",0,0,0,"georgia state panthers","west virginia mountaineers"
"168","Josh Leff","Sierra Canyon","P",0,0,0,"illinois fighting illini","smu mustangs"
"169","Reid Bauer","Magnolia","P",0,0,0,"arkansas razorbacks","memphis tigers"
"170","Gavin Wale","Coronado","P",0,0,0,"boise state broncos","undecided"
"171","Ryan Hanson","Taylor","P",0,0,0,"arkansas state red wolves","james madison dukes"
"172","Jake Walrath","","P",0,0,0,"tarleton state texans","central michigan chippewas"
"173","Grant Gonya","Hudson","P",0,0,0,"john carroll university blue streaks","charlotte 49ers"
"174","Bailey Rice","Australia","P",0,0,0,"charlotte 49ers","undecided"
"175","Zach Haynes","","P",0,0,0,"southeast missouri state bad","new mexico state aggies"
"176","Anthony Pecorella","Chaminade","P",0,0,0,"maryland terrapins","stony brook seawolves"
"177","Isaac Pearson","ProKick Australia","P",0,0,0,"texas longhorns","undecided"
"178","Kyle Romenick","Fort Mill","P",0,0,0,"akron zips","undecided"
"179","Jared Wheatley","Porter Ridge","P",0,0,0,"vanderbilt commodores","ohio bobcats"
"180","Logan Jacobson","St Pius X","P",0,0,0,"northern illinois huskies","undecided"
"181","Patrick Foley","Creighton Preparatory School","P",0,0,0,"arkansas razorbacks","uab blazers"
"182","Alan Guerrieri","College Station","P",0,0,0,"texas am aggies","undecided"
"183","Archer Trafford","Air Force Prep","P",0,0,0,"mississippi state bulldogs","east carolina pirates"
"184","Andrew Osteen","Enterprise","P",0,0,0,"ucf knights","undecided"
"185","Mason Lawler","St. Edward","P",0,0,0,"bowling green falcons","undecided"
"186","Trey Wilhoit","","P",0,0,0,"eastern illinois panthers","undecided"
"187","Jeff Yurk","Pinecrest","P",0,0,0,"elon phoenix","pittsburgh panthers"
"188","Connor Dailey","","P",0,0,0,"stephen f austin lumberjacks","undecided"
"189","Lachlan Wilson","Xavier College","P",0,0,0,"tulsa golden hurricane","undecided"
"190","Hudson Hollenbeck","","P",0,0,0,"mississippi state bulldogs","michigan wolverines"
"191","Casey Magyar","Dublin Coffman","K",0,0,0,"kent state golden flashes","ohio state buckeyes"
"192","Charles Campbell","University School Of Jackson","K",0,0,0,"indiana hoosiers","tennessee volunteers"
"193","Edward Czaplicki","Providence","K",0,0,0,"arizona state sun devils","usc trojans"
"194","Caden Davis","Coppell","K",0,0,0,"texas am aggies","ole miss rebels"
"195","Jonathan Kim","Massaponax","K",0,0,0,"north carolina tar heels","michigan state spartans"
"196","Ryan Coe","South Fayette Twp","K",0,0,0,"cincinnati bearcats","north carolina tar heels"
"197","Cole Becker","Rocklin","K",0,0,0,"colorado buffaloes","utah utes"
"198","Charlie Weinrich","Blue Valley","K",0,0,0,"nebraska cornhuskers","kansas jayhawks"
"199","Jack Stone","Highland Park","K",0,0,0,"michigan state spartans","baylor bears"
"200","Nicholas Barr-Mira","Loyola","K",0,0,0,"ucla bruins","mississippi state bulldogs"
"201","Carter Brown","Dawson","K",0,0,0,"arizona state sun devils","cincinnati bearcats"
"202","Spencer Shrader","Newsome","K",0,0,0,"usf bulls","notre dame fighting irish"
"203","Alex Felkins","Holland Hall","K",0,0,0,"columbia lions","penn state nittany lions"
"204","James Turner","Saline","K",0,0,0,"louisville cardinals","michigan wolverines"
"205","Seth Keller","","K",0,0,0,"texas state bobcats","kansas jayhawks"
"206","Brayden Narveson","Desert Mountain","K",0,0,0,"western kentucky hilltoppers","nc state wolfpack"
"207","Alejandro Mata","Buford","K",0,0,0,"jackson state tigers","colorado buffaloes"
"208","Blake Glessner","Woodinville","K",0,0,0,"montana state bobcats","ucla bruins"
"209","Jace Feely","Gilbert Christian","K",0,0,0,"arizona state sun devils","colorado buffaloes"
"210","Nathanial Vakos","Avon","K",0,0,0,"ohio bobcats","wisconsin badgers"
"211","Dario Longhetto","Newbury Park","K",0,0,0,"california golden bears","arizona state sun devils"
"212","Brendan Farrell","Marist School","K",0,0,0,"virginia cavaliers","usf bulls"
"213","Noah Rauschenberg","Union","K",0,0,0,"baylor bears","north texas mean green"
"214","Jude Kelley","Allatoona","K",0,0,0,"georgia tech yellow jackets","chattanooga mocs"
"215","Kyler Halvorsen","","K",0,0,0,"hawaii rainbow warriors","san jose state spartans"
"216","Jake Seibert","La Salle","K",0,0,0,"ohio state buckeyes","northern illinois huskies"
"217","Vito Calvaruso","Helias","K",0,0,0,"wisconsin badgers","undecided"
"218","Alex Raynor","Harrison","K",0,0,0,"georgia southern eagles","kentucky wildcats"
"219","Jacob Borcila","Westerville Central","K",0,0,0,"kansas jayhawks","vanderbilt commodores"
"220","Ashton Wolff","Marysville Pilchuck","K",0,0,0,"central washington wildcats","colorado state rams"
"221","Jake Larson","St. Frances Academy","K",0,0,0,"richmond spiders","charlotte 49ers"
"222","Jose Pizano","Lehi","K",0,0,0,"missouri state bears","unlv rebels"
"223","Kriston Esnard","Decatur","K",0,0,0,"tulane green wave","undecided"
"224","Owen Daffer","New Hanover","K",0,0,0,"east carolina pirates","undecided"
"225","Brendan Hall","Springtown","K",0,0,0,"smu mustangs","montana state bobcats"
"226","Trevor Helburg","Crosby","K",0,0,0,"houston cougars","tarleton state texans"
"227","Thiago Kapps Kronemberg","","K",0,0,0,"western michigan broncos","undecided"
"228","David Kemp","Bartram Trail","K",0,0,0,"memphis tigers","undecided"
"229","Daniel Obarski","Hamilton","K",0,0,0,"ucf knights","undecided"
"230","Tristan Mattson","Clarkston","K",0,0,0,"arkansas state red wolves","central michigan chippewas"
"231","Jack Barnum","","K",0,0,0,"albany great danes","undecided"
"232","Andrew Daragjati","Creekside ","K",0,0,0,"bryant bulldogs","undecided"
"233","Rory Bell","Wilmington","K",0,0,0,"temple owls","cincinnati bearcats"
"234","Robert Liss","","K",0,0,0,"arizona state sun devils","undecided"
"235","Marshall Meeder","Eaton Rapids Senior","K",0,0,0,"central michigan chippewas","undecided"
"236","Ethan Chang","","K",0,0,0,"william mary tribe","undecided"
"237","Chase Allen","Colleyville Heritage","K",0,0,0,"alabama crimson tide","undecided"
"238","Michael Denning","","K",0,0,0,"dayton flyers","undecided"
"239","Teja Young","Palm Beach Lakes","ATH",0,0,0,"florida atlantic owls","ole miss rebels"
"240","A'Jon Vivens","Mullen","ATH",0,0,0,"colorado state rams","undecided"
"241","CJ Ogbonna","Wheeler","ATH",0,0,0,"southeast missouri state bad","buffalo bulls"
"242","Kelvin Dean","James Rickards","ATH",0,0,0,"florida atlantic owls","florida am rattlers"
"243","Antwone Watts","Carver","ATH",0,0,0,"albany state university golden rams","louisiana monroe warhawks"
"244","Deland McCullough II","Junipero Serra","ATH",0,0,0,"indiana hoosiers","undecided"
"245","Anthony Adkins","Larue County","ATH",0,0,0,"army black knights","ucla bruins"
"246","Terry Lockett","Minnehaha Academy","ATH",0,0,0,"michigan state spartans","eastern michigan eagles"
"247","Jaylon Barden","Westside","ATH",0,0,0,"pittsburgh panthers","georgia southern eagles"
"248","Oakie Salave'a","Tafuna","ATH",0,0,0,"colorado buffaloes","hawaii rainbow warriors"
"249","Ali Wells","Lutheran North","ATH",0,0,0,"murray state racers","undecided"
"250","Emari Pait","Culver City","ATH",0,0,0,"fresno state bulldogs","undecided"
"251","Ygenio Booker","Hernando","ATH",0,0,0,"tulane green wave","undecided"
"252","Kobe Myers","Waterford Mott","ATH",0,0,0,"michigan state spartans","undecided"
"253","John O'Friel","","ATH",0,0,0,"fordham rams","undecided"
"254","Shilo Sanders","Trinity Christian School","S",0,886000,0,"jackson state tigers","colorado buffaloes"
"255","Jack Henderson","Mandeville","S",0,257000,0,"southeastern louisiana lions","minnesota golden gophers"
"256","Jason Maitre","Everett","S",0,228000,0,"boston college eagles","wisconsin badgers"
"257","Jalen Catalon","Mansfield Legacy","S",0,210000,0,"arkansas razorbacks","texas longhorns"
"258","John Saunders","High Point Christian Academy","S",0,148000,0,"miami oh redhawks","ole miss rebels"
"259","Corey Collier","Miami Palmetto","S",0,110000,0,"florida gators","nebraska cornhuskers"
"260","Andre Sam","Iowa","S",0,109000,0,"marshall thundering herd","tulane green wave"
"261","Ja'Had Carter","Jireh Prep","S",0,109000,0,"syracuse orange","ohio state buckeyes"
"262","Sam McCall","Lake Gibson","S",0,97000,0,"florida state seminoles","texas am aggies"
"263","Donovan McMillon","Peters Township","S",0,80000,0,"florida gators","pittsburgh panthers"
"264","Flip Dixon","Statesboro","S",0,70000,0,"minnesota golden gophers","rutgers scarlet knights"
"265","Reggie Pearson Jr.","River Rouge","S",0,69000,0,"texas tech red raiders","oklahoma sooners"
"266","Tysheem Johnson","Neumann Goretti","S",0,68000,0,"ole miss rebels","oregon ducks"
"267","Bryson Washington","C.E. King","S",0,66000,0,"oklahoma sooners","new mexico state aggies"
"268","Myles Slusher","Broken Arrow","S",0,64000,0,"arkansas razorbacks","colorado buffaloes"
"269","A.J. Kirk","Archbishop Hoban","S",0,61000,0,"michigan state spartans","undecided"
"270","Kam Pedescleaux","Manvel","S",0,0,0,"louisiana ragin cajuns","tulane green wave"
"271","Patrick McMorris","Santa Ana","S",0,0,0,"san diego state aztecs","california golden bears"
"272","Jordan Anderson","Harper Woods","S",0,0,0,"bowling green falcons","ucla bruins"
"273","Robert Kennedy","Jeannette","S",0,0,0,"old dominion monarchs","nc state wolfpack"
"274","Jaylen Key","Amos P. Godby","S",0,0,0,"uab blazers","alabama crimson tide"
"275","Antonio Carter","Oak Ridge","S",0,0,0,"rhode island rams","notre dame fighting irish"
"276","Adari Haulcy","Fort Bend Marshall","S",0,0,0,"new mexico lobos","houston cougars"
"277","Mannie Nunnery","Shadow Creek","S",0,0,0,"houston cougars","florida gators"
"278","DeJordan Mask","Arkansas","S",0,0,0,"texas state bobcats","ucf knights"
"279","RJ Moten","Delran","S",0,0,0,"michigan wolverines","florida gators"
"280","Jaeden Gould","Bergen Catholic","S",0,0,0,"nebraska cornhuskers","syracuse orange"
"281","Jaxen Turner","Rancho Verde","S",0,0,0,"arizona wildcats","unlv rebels"
"282","Shamari Simmons","Clay Central","S",0,0,0,"austin peay governors","arizona state sun devils"
"283","Derrick Davis Jr.","Gateway","S",0,0,0,"lsu tigers","pittsburgh panthers"
"284","Jantzen Dunn","South Warren","S",0,0,0,"ohio state buckeyes","kentucky wildcats"
"285","Antavious Lane","Dwyer","S",0,0,0,"georgia state panthers","north carolina tar heels"
"286","JD Coffey","Kennedale","S",0,0,0,"texas longhorns","san diego state aztecs"
"287","Evan Williams","St. Francis","S",0,0,0,"fresno state bulldogs","oregon ducks"
"288","Tre'Vez Johnson","Bartram Trail","S",0,0,0,"florida gators","missouri tigers"
