"","Name","High.School","Position","Rating","NIL.Valuation","Followers","Last.Team","New.Team"
"455","Travion Ford","Lutheran North","EDGE",0,0,0,"missouri tigers","toledo rockets"
"456","Kevonte Henry","Leuzinger","EDGE",0,0,0,"oklahoma sooners","undecided"
"457","Shambre Jackson","Boone","EDGE",0,0,0,"florida state seminoles","massachusetts minutemen"
"458","Josh Simmons","Helix","IOL",0,183000,0,"san diego state aztecs","ohio state buckeyes"
"459","Drew Moss","Richardson","IOL",0,85000,0,"lamar cardinals","colorado state rams"
"460","Victor Curne","Second Baptist","IOL",0,77000,0,"washington huskies","ole miss rebels"
"461","Caleb Shaffer","Carmel","IOL",0,60000,0,"miami oh redhawks","oklahoma sooners"
"462","LaDarius Henderson","Waxahachie","IOL",0,0,0,"arizona state sun devils","michigan wolverines"
"463","Spencer Holstege","South Christian","IOL",0,0,0,"purdue boilermakers","ucla bruins"
"464","Ben Coleman","Linfield Christian School","IOL",0,0,0,"california golden bears","arizona state sun devils"
"465","Junior Angilau","East","IOL",0,0,0,"texas longhorns","oregon ducks"
"466","Rusty Staats","Naval Academy Prep","IOL",0,0,0,"western kentucky hilltoppers","texas tech red raiders"
"467","Jake Renfro","Providence Catholic","IOL",0,0,0,"cincinnati bearcats","wisconsin badgers"
"468","Troy Everett","Lord Botetourt","IOL",0,0,0,"appalachian state mountaineers","oklahoma sooners"
"469","Willie Lampkin","Lakeland","IOL",0,0,0,"coastal carolina chanticleers","north carolina tar heels"
"470","Ben Christman","Revere","IOL",0,0,0,"ohio state buckeyes","kentucky wildcats"
"471","Max Longman","Portage Central","IOL",0,0,0,"massachusetts minutemen","indiana hoosiers"
"472","Hunter Deyo","Lewis Central","IOL",0,0,0,"iowa state cyclones","bowling green falcons"
"473","Caleb Etienne","Warren Easton","IOL",0,0,0,"oklahoma state cowboys","byu cougars"
"474","Luke Kandra","Elder","IOL",0,0,0,"louisville cardinals","cincinnati bearcats"
"475","Jack Bailey","Kirtland","IOL",0,0,0,"kent state golden flashes","colorado buffaloes"
"476","Dylan Senda","Divine Child","IOL",0,0,0,"northwestern wildcats","auburn tigers"
"477","Jack Hasz","Creighton Preparatory School","IOL",0,0,0,"buffalo bulls","unlv rebels"
"478","Nishad Strother","Havelock","IOL",0,0,0,"east carolina pirates","oregon ducks"
"479","Jake Hornibrook","Malvern Prep","IOL",0,0,0,"stanford cardinal","duke blue devils"
"480","Tyler Brown","Saint Joseph Catholic","IOL",0,0,0,"jackson state tigers","colorado buffaloes"
"481","Logan Parr","O'Connor","IOL",0,0,0,"texas longhorns","smu mustangs"
"482","Corey Bullock","Gwynn Park","IOL",0,0,0,"north carolina central eagles","maryland terrapins"
