"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"308","Jalen Green","EDGE /Good CounselOlney, MD","EDGE",50,"James Madison Dukes",624000,2300,"Sun Belt"
"309","Ashton Gillotte","EDGE /Boca RatonBoca Raton, FL","EDGE",83.28,"Louisville Cardinals",492000,4100,"ACC"
"310","Ahmed Hassanein","EDGE /LoaraAnaheim, CA","EDGE",82.87,"Boise State Broncos",484000,7700,"Mountain West"
"311","Princely Umanmielen","EDGE /ManorManor, TX","EDGE",90.72,"Florida Gators",464000,30000,"SEC"
"312","Keon Keeley","EDGE /Berkeley PrepTampa, FL","EDGE",99.35,"Alabama Crimson Tide",454000,25000,"SEC"
"313","Antwaun Powell-Ryland Jr.","EDGE /Indian RiverPortsmouth, VA","EDGE",91.71,"Virginia Tech Hokies",443000,8300,"ACC"
"315","Kydran Jenkins","EDGE /Jefferson CountyLouisville, GA","EDGE",84.03,"Purdue Boilermakers",397000,0,"Big Ten"
"316","Adepoju Adebawore","EDGE /North Kansas CityKansas City, MO","EDGE",98.81,"Oklahoma Sooners",378000,10500,"Big 12"
"318","Solomon Byrd","EDGE /William KnightPalmdale, CA","EDGE",77.32,"Usc Trojans",359000,2700,"Pac-12"
"319","Gabriel Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.57,"Ucla Bruins",319000,2900,"Pac-12"
"320","Damon Wilson","EDGE /VeniceVenice, FL","EDGE",97.59,"Georgia Bulldogs",318000,22000,"SEC"
"321","J.T. Tuimoloau","EDGE /Eastside CatholicSammamish, WA","EDGE",99.06,"Ohio State Buckeyes",312000,60000,"Big Ten"
"322","Jasheen Davis","EDGE /ShilohSnellville, GA","EDGE",88.13,"Wake Forest Demon Deacons",303000,2200,"ACC"
"323","Grayson Murphy","EDGE /Bishop LynchDallas, TX","EDGE",82.9,"Ucla Bruins",280000,2400,"Pac-12"
"324","Shemar Turner","EDGE /DeSotoDeSoto, TX","EDGE",97.94,"Texas A&M Aggies",275000,17200,"SEC"
"325","Bralen Trice","EDGE /Sandra Day O'connorGlendale, AZ","EDGE",88.4,"Washington Huskies",266000,4600,"Pac-12"
"327","Chop Robinson","EDGE /Quince OrchardGaithersburg, MD","EDGE",95.55,"Penn State Nittany Lions",242000,23000,"Big Ten"
"328","Rueben Bain","EDGE /Miami CentralMiami, FL","EDGE",95.7,"Miami Hurricanes",239000,24000,"ACC"
"329","Adisa Isaac","EDGE /CanarsieBrooklyn, NY","EDGE",93.53,"Penn State Nittany Lions",237000,5100,"Big Ten"
"330","Mykel Williams","EDGE /HardawayColumbus, GA","EDGE",98.57,"Georgia Bulldogs",227000,37000,"SEC"
"331","Yhonzae Pierre","EDGE /Eufaula Eufaula, AL","EDGE",97.33,"Alabama Crimson Tide",217000,3700,"SEC"
"332","Justice Finkley","EDGE /Hewitt-TrussvilleTrussville, AL","EDGE",93.69,"Texas Longhorns",210000,55000,"Big 12"
"333","Colton Vasek","EDGE /WestlakeAustin, TX","EDGE",94.31,"Texas Longhorns",209000,26000,"Big 12"
"334","Kelby Collins","EDGE /GardendaleGardendale, AL","EDGE",96.43,"Florida Gators",202000,27000,"SEC"
"335","Samuel M'Pemba","EDGE /IMG AcademySaint Louis, MO","EDGE",96.44,"Georgia Bulldogs",197000,26000,"SEC"
"336","Davin Vann","EDGE /CaryCary, NC","EDGE",90.86,"Nc State Wolfpack",197000,2200,"ACC"
"337","Johnny Walker","EDGE /ChamberlainTampa, FL","EDGE",83.13,"Missouri Tigers",195000,3000,"SEC"
"338","J'mond Tapp","EDGE /Ascension CatholicDonaldsonville, LA","EDGE",93.56,"Texas Longhorns",194000,6700,"Big 12"
"339","Ethan Burke","EDGE /WestlakeAustin, TX","EDGE",89.76,"Texas Longhorns",193000,5800,"Big 12"
"340","Dashawn Womack","EDGE /St. Frances AcademyBaltimore, MD","EDGE",96.47,"Lsu Tigers",187000,13600,"SEC"
"341","Barryn Sorrell","EDGE /Holy CrossNew Orleans, LA","EDGE",86.8,"Texas Longhorns",179000,4100,"Big 12"
"342","Tomarrion Parker","EDGE /CentralPhenix City, AL","EDGE",96.02,"Clemson Tigers",170000,12100,"ACC"
"343","Ron Stone Jr.","EDGE /Valley ChristianSan Jose, CA","EDGE",50,"Washington State Cougars",166000,4900,"Pac-12"
"344","Darius Robinson","EDGE /CantonCanton, MI","EDGE",87.1,"Missouri Tigers",155000,2900,"SEC"
"345","Gabe Harris","EDGE /IMG AcademyValdosta, GA","EDGE",95.42,"Georgia Bulldogs",154000,21000,"SEC"
"346","Jaylen Harrell","EDGE /Berkeley PrepTampa, FL","EDGE",89.94,"Michigan Wolverines",149000,12300,"Big Ten"
"347","Bai Jobe","EDGE /Community Christian SchoolNorman, OK","EDGE",95.41,"Michigan State Spartans",149000,11200,"Big Ten"
"348","Tausili Akana","EDGE /SkyridgeKahuku, HI","EDGE",93.5,"Texas Longhorns",147000,12000,"Big 12"
"349","Jayden Wayne","EDGE /IMG AcademyTacoma, WA","EDGE",94.61,"Miami Hurricanes",143000,29000,"ACC"
"350","Roman Harrison","EDGE /BainbridgeBainbridge, GA","EDGE",89.92,"Tennessee Volunteers",143000,18100,"SEC"
"351","Landon Jackson","EDGE /Pleasant GroveTexarkana, TX","EDGE",92.24,"Arkansas Razorbacks",143000,27000,"SEC"
"352","Caleb Herring","EDGE /RiverdaleMurfreesboro, TN","EDGE",94.47,"Tennessee Volunteers",143000,9600,"SEC"
"353","Joshua Josephs","EDGE /North CobbKennesaw, GA","EDGE",91.7,"Tennessee Volunteers",139000,7300,"SEC"
"354","Braylan Shelby","EDGE /FriendswoodFriendswood, TX","EDGE",95.45,"Usc Trojans",137000,6800,"Pac-12"
"355","Jaxon Howard","EDGE /Robbinsdale CooperMinneapolis, MN","EDGE",93.63,"Lsu Tigers",134000,20000,"SEC"
"356","Jack Sawyer","EDGE /Pickerington NorthPickerington, OH","EDGE",99.1,"Ohio State Buckeyes",134000,51000,"Big Ten"
"357","Chandavian Bradley","EDGE /Platte CountyPlatte City, MO","EDGE",93.29,"Tennessee Volunteers",127000,25000,"SEC"
"358","Bryson Eason","EDGE /WhitehavenMemphis, TN","EDGE",89.73,"Tennessee Volunteers",127000,2100,"SEC"
"359","Joshua Mickens","EDGE /Lawrence CentralIndianapolis, IN","EDGE",94.16,"Ohio State Buckeyes",124000,6500,"Big Ten"
"360","Khalid Duke","EDGE /Riverside Military AcademyGainesville, GA","EDGE",82.8,"Kansas State Wildcats",123000,2100,"Big 12"
"361","Chief Borders","EDGE /Heard CountyChicago, IL","EDGE",89.53,"Nebraska Cornhuskers",123000,61000,"Big Ten"
"362","Jeremiah Alexander","EDGE /ThompsonAlabaster, AL","EDGE",98.07,"Alabama Crimson Tide",122000,29000,"SEC"
"363","Brian Ugwu","EDGE /HillsideHillside, NJ","EDGE",83,"Miami (Oh) Redhawks",122000,99000,"MAC"
"364","Kamran James","EDGE /OlympiaOrlando, FL","EDGE",93.19,"Florida Gators",119000,17500,"SEC"
"365","Dasan McCullough","EDGE /Bloomington SouthBloomington, IN","EDGE",94.5,"Oklahoma Sooners",119000,80000,"Big 12"
"366","Nic Scourton","EDGE /BryanBryan, TX","EDGE",90.26,"Purdue Boilermakers",117000,7000,"Big Ten"
"367","Caden Curry","EDGE /Center GroveGreenwood, IN","EDGE",93.6,"Ohio State Buckeyes",115000,20000,"Big Ten"
"368","Patrick Payton","EDGE /NorthwesternMiami, FL","EDGE",91.52,"Florida State Seminoles",114000,15300,"ACC"
"369","Collins Acheampong","EDGE /Santa Margarita CatholicRancho Santa Margarita, CA","EDGE",92.94,"Miami Hurricanes",114000,13700,"ACC"
"370","Elijah Roberts","EDGE /ColumbusMiami, FL","EDGE",89.67,"Smu Mustangs",114000,4400,"American"
