"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"372","Desmond Umeozulu","EDGE /Charles Herbert FlowersUpper Marlboro, MD","EDGE",93.05,"South Carolina Gamecocks",108000,12300,"SEC"
"373","Kenyatta Jackson Jr.","EDGE /Chaminade-Madonna PrepHollywood, FL","EDGE",96.3,"Ohio State Buckeyes",107000,12100,"Big Ten"
"374","Byron Turner Jr.","EDGE /St. AugustineNew Orleans, LA","EDGE",89.33,"Florida State Seminoles",106000,4000,"ACC"
"375","Anthony Lucas","EDGE /ChaparralScottsdale, AZ","EDGE",96.35,"Usc Trojans",104000,16400,"Pac-12"
"376","Marvin Jones Jr.","EDGE /American HeritageFort Lauderdale, FL","EDGE",97.5,"Georgia Bulldogs",104000,33000,"SEC"
"377","Jack Pyburn","EDGE /The Bolles SchoolJacksonville, FL","EDGE",87.55,"Florida Gators",104000,10800,"SEC"
"378","Fadil Diggs","EDGE /Woodrow WilsonCamden, NJ","EDGE",92.48,"Texas A&M Aggies",101000,10600,"SEC"
"379","Jamil Muhammad","EDGE /James ClemensMadison, AL","EDGE",84.63,"Usc Trojans",100000,5900,"Pac-12"
"380","Elijah McAllister","EDGE /Rumson-Fair HavenRumson, NJ","EDGE",86.73,"Auburn Tigers",100000,9500,"SEC"
"381","Jalen McLeod","EDGE /Friendship Collegiate AcademyWashington, DC","EDGE",80.15,"Auburn Tigers",99000,7500,"SEC"
"382","Romello Height","EDGE /DublinDublin, GA","EDGE",89.67,"Usc Trojans",98000,4400,"Pac-12"
"383","Xavier Thomas","EDGE /IMG AcademyBradenton, FL","EDGE",99.33,"Clemson Tigers",98000,165000,"ACC"
"384","Blaise Gunnerson","EDGE /Kuemper Catholic School SystemCarroll, IA","EDGE",88.13,"Nebraska Cornhuskers",98000,10200,"Big Ten"
"385","Dani Dennis-Sutton","EDGE /McDonogh SchoolMillsboro, DE","EDGE",97.56,"Penn State Nittany Lions",97000,17200,"Big Ten"
"386","T.J. Searcy","EDGE /Upson-LeeThomaston, GA","EDGE",91.34,"Florida Gators",97000,6100,"SEC"
"387","Chaz Chambliss","EDGE /CarrolltonCarrollton, GA","EDGE",89.52,"Georgia Bulldogs",94000,12600,"SEC"
"388","Adonijah Green","EDGE /Cedar GroveEllenwood, GA","EDGE",92.24,"Louisville Cardinals",92000,3900,"ACC"
"389","Bradyn Swinson","EDGE /Chapel HillDouglasville, GA","EDGE",88.07,"Lsu Tigers",91000,18600,"SEC"
"390","Coziah Izzard","EDGE /DeMatha CatholicLaurel, MD","EDGE",90.63,"Penn State Nittany Lions",89000,3400,"Big Ten"
"391","Jakivuan Brown","EDGE /Horn LakeHorn Lake, MS","EDGE",90.7,"Ole Miss Rebels",84000,6400,"SEC"
"392","Ashton Porter","EDGE /Cy RanchCypress, TX","EDGE",91.42,"Oregon Ducks",82000,10700,"Pac-12"
"393","Princewill Umanmielen","EDGE /ManorManor, TX","EDGE",91.5,"Nebraska Cornhuskers",82000,5200,"Big Ten"
"394","Cedric Johnson","EDGE /WP DavidsonMobile, AL","EDGE",84.67,"Ole Miss Rebels",82000,3900,"SEC"
"395","Ovie Oghoufo","EDGE /HarrisonFarmington, MI","EDGE",87.77,"Lsu Tigers",82000,8900,"SEC"
